trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.6, 'e': 0.43171052342907973}",30,0,-17.943211639805764,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.4231620823177488}",20,1,-34.92652167327276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.6, 'e': 0.4147829116815814}",35,12,-16.739651390104868,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.4065696597405991}",30,0,-154.23889095939793,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
46,False,"{'a': 0.6, 'e': 0.3985190410845142}",20,0,-7.701465234922885,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.3906278353585211}",20,0,-33.8925522758675,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.38289288597511206}",20,0,-41.512914953164824,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.6, 'e': 0.37531109885139957}",25,0,-47.335105377141,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.6, 'e': 0.36787944117144233}",30,10,-5.6084639884955045,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.6, 'e': 0.3605949401730783}",30,0,-18.179248473943638,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.6, 'e': 0.35345468195878016}",25,0,-47.737769389969216,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.6, 'e': 0.34645581033005746}",20,0,-75.8753467300345,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.6, 'e': 0.33959552564493917}",20,6,-12.96839448873391,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.6, 'e': 0.33287108369807955}",25,7,-139.53683943373434,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 2}",1
56,False,"{'a': 0.6, 'e': 0.32627979462303947}",25,7,11.592818696271713,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 0.3198190218163039}",20,12,11.673379389574954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.6, 'e': 0.3134861808826054}",30,0,12.534439242092823,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.6, 'e': 0.30727873860113125}",20,0,-19.625220861223912,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
60,False,"{'a': 0.6, 'e': 0.30119421191220214}",20,11,18.606278080043214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.6, 'e': 0.2952301669240142}",25,0,-73.74114588860446,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.6, 'e': 0.28938421793905067}",20,0,-91.71299029027058,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.6, 'e': 0.2836540264997704}",30,0,-5.395823080248039,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.6, 'e': 0.27803730045319414}",20,0,-26.053389228185424,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.6, 'e': 0.2725317930340126}",25,0,-40.24425740093423,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
66,False,"{'a': 0.6, 'e': 0.2671353019658504}",20,0,14.80819378141275,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.6, 'e': 0.261845668580326}",20,6,14.849956962938437,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.6, 'e': 0.2566607769535559}",20,10,-11.395022071536292,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.2515785530597565}",20,16,7.375081760939188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.6, 'e': 0.24659696394160646}",20,4,-22.420917078321473,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.6, 'e': 0.24171401689703648}",25,0,4.25051199180056,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.6, 'e': 0.2369277586821218}",30,1,-73.29491029309735,"{0: 24, 1: 0, 2: 1, 3: 3, 4: 1}",1
73,False,"{'a': 0.6, 'e': 0.23223627472975886}",20,0,-19.074888507271147,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.6, 'e': 0.22763768838381276}",20,0,9.55288080649609,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.6, 'e': 0.22313016014842985}",20,0,-31.20388105369783,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.6, 'e': 0.21871188695221477}",20,0,10.238301544683678,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.6, 'e': 0.21438110142697797}",20,7,6.098714228876288,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.21013607120076475}",25,0,-19.09943889594183,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.6, 'e': 0.20597509820488347}",25,3,-23.8961898553284,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.6, 'e': 0.2018965179946554}",30,10,-11.725587388525334,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.6, 'e': 0.19789869908361468}",20,0,-48.846313459305115,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.6, 'e': 0.19398004229089189}",20,9,20.755379214926958,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.6, 'e': 0.19013898010152053}",20,14,11.751871682382053,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.18637397603941}",20,3,22.863209023208764,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.18268352405273466}",20,10,0.13774889173071792,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.17906614791149325}",25,2,-50.21708482456121,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.6, 'e': 0.1755204006169969}",20,4,14.409936797136128,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.17204486382305054}",25,2,-30.112972019726012,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.6, 'e': 0.16863814726859552}",25,0,-9.960799948186887,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.6, 'e': 0.16529888822158656}",20,5,29.118233987185285,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.16202575093388077}",20,6,-74.40726957488246,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
92,False,"{'a': 0.6, 'e': 0.1588174261069207}",20,7,12.104891381821027,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.1556726303679973}",25,13,23.333682475227295,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.6, 'e': 0.15259010575688386}",20,12,11.652379559939003,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.14956861922263506}",30,15,-1.716465242988325,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.14660696213035015}",30,16,26.422228109957583,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.14370394977770296}",25,17,2.6124539802835574,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.140858420921045}",30,16,-14.71352141443771,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.6, 'e': 0.13806923731089282}",35,12,41.3157687168544,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.1353352832366127}",25,0,-12.82389984315576,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.6, 'e': 0.13265546508012174}",25,11,-27.176104754625488,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.6, 'e': 0.13002871087842593}",25,9,18.576291450486984,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.12745396989482075}",25,0,1.3226056557590053,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.6, 'e': 0.12493021219858243}",20,11,11.255085516237294,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.6, 'e': 0.12245642825298192}",20,6,17.1950389666046,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.12003162851145674}",20,12,4.097077940722731,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.1176548430217792}",20,0,26.685730629234346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
